Sample ID,Density,TSI,S,Ar,R,As,CII,S_value,P_value
GU,0.775,0.24,62.23,23.82,12.55,1.4,1.75,5.07,
CU,0.784,0.07,82.95,7.73,8.92,0.43,5.01,3.8,
LU/LW,0.795,3.55,77.37,14.57,7.25,0.77,3.09,1.15,0.33
CP/CO,0.798,3.18,58.3,29.6,10.38,1.72,2.15,1.24,1.33
R8/RB8,0.81,1.53,53.2,43.45,2.37,0.98,1.82,1.05,1.0
BA,0.811,0.12,62.55,32.72,4.13,0.38,1.71,,
R3/RB3,0.812,0.04,53.28,36.37,6.65,3.33,1.38,1.74,1.22
IT/WM,0.812,1.22,54.33,39.07,5.6,0.97,1.24,1.04,1.0
YO,0.822,0.07,8.6,0.6,0.0,54.2,1.25,5.26,
OB ,0.823,0.32,49.2,32.64,16.04,2.1,1.05,1.93,2.0
KA,0.824,0.14,46.02,38.47,6.28,9.25,1.24,5.1,
OS,0.825,1.41,47.1,35.5,11.27,6.1,1.14,3.12,
GO,0.825,0.72,61.75,30.85,6.08,1.32,1.71,1.68,4.35
G1*,0.834,0.34,56.43,34.6,3.72,5.22,1.61,2.5,
AZ,0.835,2.32,51.27,26.05,21.1,1.62,1.12,7.73,5.9
LA,0.837,4.95,39.88,32.85,18.98,8.28,0.93,1.44,1.59
GI,0.84,1.28,38.95,47.92,10.62,2.52,0.71,,3.6
GE/LN,0.84,0.33,55.05,32.48,5.27,6.75,2.14,3.42,1.0
ES,0.846,3.27,36.83,35.62,21.35,6.2,0.76,2.7,1.78
NV/NP ,0.848,0.72,63.95,28.0,7.77,0.3,1.8,4.65,2.26
TR/TL,0.852,2.2,42.87,37.22,17.15,3.6,0.85,3.29,2.5
AL ,0.859,7.96,21.33,59.5,9.05,10.1,0.46,2.21,2.31
AL1,0.861,6.3,22.07,63.35,7.0,7.58,0.42,2.16,2.23
AL2,0.859,3.79,21.05,64.4,6.43,8.12,0.41,2.42,
WE,0.864,6.37,26.98,41.53,18.92,12.6,0.65,1.79,1.76
FO,0.865,0.43,37.43,40.52,17.35,4.7,0.73,3.13,
EM,0.871,6.99,25.4,30.73,30.23,13.67,0.64,1.78,1.63
RP1,0.874,5.12,22.48,59.18,10.57,7.8,0.43,3.04,1.78
RA/RO,0.874,5.2,21.52,53.57,14.45,10.43,0.47,2.95,3.1
RU/RO,0.874,4.7,19.23,58.85,14.15,7.8,0.37,2.76,3.01
NO,0.875,1.08,50.1,41.97,6.2,1.7,1.08,3.81,3.01
G2,0.876,1.28,32.1,51.17,11.47,5.25,0.6,4.44,4.65
JC,0.877,0.36,36.53,41.8,19.62,2.05,0.63,5.61,4.53
RP/RO,0.877,4.49,19.97,58.72,10.8,10.55,0.44,2.88,3.0
K1,0.879,6.17,17.07,55.68,10.03,17.22,0.52,1.91,1.78
KI/KK,0.879,7.46,18.27,60.35,10.32,11.07,0.7,1.73,1.72
JS,0.882,4.05,20.1,51.8,21.2,6.97,0.37,2.86,3.5
G1,0.884,1.28,28.05,48.82,17.75,5.38,0.5,4.52,5.21
EG,0.888,1.41,43.43,42.72,12.93,0.92,0.8,4.53,1.78
CA/CR,0.892,1.71,44.9,40.7,11.57,2.85,0.91,1.77,1.71
ML,0.895,0.56,46.48,46.98,5.3,1.6,0.92,3.61,
SC,0.903,1.03,42.43,43.88,9.85,3.83,0.86,5.69,
HI,0.907,0.29,33.35,48.62,15.03,2.97,0.57,6.09,7.34
LO,0.908,2.49,24.18,44.43,27.15,4.23,0.4,4.78,12.78
C1,0.91,0.29,23.38,44.97,19.45,12.17,0.55,,
AR,0.912,5.23,21.02,63.85,10.68,4.07,0.34,2.86,3.41
CL,0.912,0.24,23.23,46.22,17.57,12.97,0.57,4.28,2.06
HE,0.932,1.73,25.32,50.47,17.57,6.63,0.47,4.96,5.36
EB/EK,0.948,0.09,19.15,52.13,26.33,2.4,0.27,7.08,9.87
HA,0.948,2.1,7.45,52.28,20.95,19.32,0.37,3.4,2.67
ME,0.959,2.14,6.37,42.48,28.12,23.02,0.42,3.21,2.43
FG,0.8472,1.8,39.9,24.9,30.9,4.3,0.79,1.33,3.13
RO,0.877,3.94,18.13,27.8,32.72,10.23,0.47,2.88,2.25
EK,0.9478,,20.3,37.85,36.5,5.35,0.34,7.08,2.37
EKO,0.8307,0.14,57.94,37.83,3.39,0.84,1.43,,
JS,0.8846,2.86,30.23,52.88,5.69,11.2,0.7,,3.5
EF,0.8001,3.22,77.0,4.3,17.95,0.7,3.49,1.33,1.0
