D1,S1,Ar1,R1,As1,%1,D2,S2,Ar2,R2,As2,%2,SMix,ArMix,RMix,AsMix,CII
0.8741,18.13,27.8,32.72,10.23,0.9,0.8,77.0,4.3,17.95,0.7,0.1,25.16,37.71,26.07,11.07,0.57
0.8741,18.13,27.8,32.72,10.23,0.75,0.8,77.0,4.3,17.95,0.7,0.25,32.67,33.6,24.23,9.5,0.73
0.8741,18.13,27.8,32.72,10.23,0.5,0.8,77.0,4.3,17.95,0.7,0.5,46.37,23.35,22.18,8.1,1.2
0.8741,18.13,27.8,32.72,10.23,0.1,0.8,77.0,4.3,17.95,0.7,0.9,66.7,7.7,20.8,4.8,2.51
0.8741,18.13,27.8,32.72,10.23,0.7,0.81,52.0,29.73,6.69,0.47,0.3,26.13,35.2,28.83,9.83,0.56
0.8741,18.13,27.8,32.72,10.23,0.1,0.81,52.0,29.73,6.69,0.47,0.9,46.95,35.3,14.8,2.95,1
0.8741,18.13,27.8,32.72,10.23,0.75,0.8403,66.07,20.96,6.42,6.53,0.25,35.78,29.28,25.3,9.65,0.83
0.8741,18.13,27.8,32.72,10.23,0.5,0.8403,66.07,20.96,6.42,6.53,0.5,43.3,23.8,23.8,9.1,1.1
0.8741,18.13,27.8,32.72,10.23,0.25,0.8403,66.07,20.96,6.42,6.53,0.75,53.1,21.1,16.8,9.0,1.64
0.8741,18.13,27.8,32.72,10.23,0.9,0.8472,39.9,24.9,30.9,4.3,0.1,24.9,30.0,35.1,10.0,0.54
0.8741,18.13,27.8,32.72,10.23,0.65,0.8472,39.9,24.9,30.9,4.3,0.35,27.05,29.95,34.5,8.5,0.55
0.8741,18.13,27.8,32.72,10.23,0.25,0.8472,39.9,24.9,30.9,4.3,0.75,36.6,26.1,32.4,4.9,0.71
0.8741,18.13,27.8,32.72,10.23,0.8,0.8475,72.0,22.3,5.0,0.7,0.2,31.2,33.1,29.05,6.65,0.61
0.8741,18.13,27.8,32.72,10.23,0.5,0.8475,72.0,22.3,5.0,0.7,0.5,40.27,31.3,21.3,7.13,0.9
0.8741,18.13,27.8,32.72,10.23,0.2,0.8475,72.0,22.3,5.0,0.7,0.8,56.2,26.78,13.4,3.63,1.49
0.8741,18.13,27.8,32.72,10.23,0.9,0.8922,62.1,19.83,14.67,3.4,0.1,24.1,30.29,38.01,7.6,0.46
0.8741,18.13,27.8,32.72,10.23,0.5,0.8922,62.1,19.83,14.67,3.4,0.5,32.13,29.36,32.17,6.33,0.63
0.8741,18.13,27.8,32.72,10.23,0.2,0.8922,62.1,19.83,14.67,3.4,0.8,46.6,18.9,28.77,5.73,1.1
0.8741,18.13,27.8,32.72,10.23,0.9,0.8124,74.9,14.1,9.2,1.8,0.1,29.13,35.63,26.25,9.0,0.62
