ID_1,P_Value1,%_1,ID_2,P_Value2,%_2,P_Value_res
KI,1.78,20,RA/RO,3.1,80,2.39
KI,1.78,35,RA/RO,3.1,65,2
IT,1.1,15,JS,3.5,85,3.4
IT,1.1,20,JS,3.5,80,3.14
IT,1.1,25,JS,3.5,75,2.98
IT,1.1,10,AL,2.31,90,2.14
IT,1.1,30,AL,2.31,70,2.1
CR,1.71,10,RO,2.25,90,2.12
CR,1.71,50,RO,2.25,50,1.75
CR,1.71,80,RO,2.25,20,1.71
WM,1.1,10,RO,2.25,90,2.25
WM,1.1,20,RO,2.25,80,2
WM,1.1,50,RO,2.25,50,1.91
WM,1.1,85,RO,2.25,15,1.67
KK,1.87,10,RO,2.25,90,2.05
KK,1.87,20,RO,2.25,80,1.91
KK,1.87,40,RO,2.25,60,1.75
KK,1.87,30,RO,2.25,70,1.67
RU/RO,3.01,50,RA/RO,3.1,50,3.09
ET,1.63,10,RA/RO,3.1,90,2
CP,1.33,20,RA/RO,3.1,80,2.85
AL,2.31,25,JS,3.5,75,3.1
AL,2.31,50,JS,3.5,50,3.01
AL,2.31,75,JS,3.5,25,2.46
EF,1,10,RO,2.25,90,1.74
EF,1,25,RO,2.25,75,1.85
EF,1,50,RO,2.25,50,1.56
EF,1,90,RO,2.25,10,1.13
LN,1,25,RO,2.25,75,1.67
LN,1,50,RO,2.25,50,1.45
LN,1,75,RO,2.25,25,1
FG,1.71,10,RO,2.25,90,2
FG,1.71,35,RO,2.25,65,1.85
FG,1.71,75,RO,2.25,25,1.75
NP,2.81,20,RO,2.25,80,2.37
NP,2.81,50,RO,2.25,50,2.05
NP,2.81,80,RO,2.25,20,1.75
RB8,1.1,10,RO,2.25,90,2.43
RB8,1.1,50,RO,2.25,50,1.97
RB8,1.1,95,RO,2.25,5,1.5
CO,1.33,10,RO,2.25,90,2.05
CO,1.33,35,RO,2.25,65,1.49
CO,1.33,75,RO,2.25,25,1.25
TR,2.5,20,RO,2.25,80,2.2
TR,2.5,70,RO,2.25,30,2.18
LW,1,10,RO,2.25,90,1.87
LW,1,35,RO,2.25,65,1.56
LW,1,75,RO,2.25,25,1.25
