ID_1,As1,D1,P_Value1,%_1,ID_2,As2,D2,P_Value2,%_2,P_Value_res
KI,11.07,0.8793,1.78,20,RA/RO,10.43,0.8741,3.1,80,2.39
KI,11.07,0.8793,1.78,35,RA/RO,10.43,0.8741,3.1,65,2
IT,0.97,0.8124,1.1,15,JS,8.0,0.8815,3.5,85,3.4
IT,0.97,0.8124,1.1,20,JS,8.0,0.8815,3.5,80,3.14
IT,0.97,0.8124,1.1,25,JS,8.0,0.8815,3.5,75,2.98
IT,0.97,0.8124,1.1,10,AL,10.10,0.8590,2.31,90,2.14
IT,0.97,0.8124,1.1,30,AL,10.10,0.8590,2.31,70,2.1
CR,3.4,0.8922,1.71,10,RO,10.23,0.8741,2.25,90,2.12
CR,3.4,0.8922,1.71,50,RO,10.23,0.8741,2.25,50,1.75
CR,3.4,0.8922,1.71,80,RO,10.23,0.8741,2.25,20,1.71
WM,1.8,0.8124,1.1,10,RO,10.23,0.8741,2.25,90,2.25
WM,1.8,0.8124,1.1,20,RO,10.23,0.8741,2.25,80,2
WM,1.8,0.8124,1.1,50,RO,10.23,0.8741,2.25,50,1.91
WM,1.8,0.8124,1.1,85,RO,10.23,0.8741,2.25,15,1.67
KK,21.13,0.8793,1.87,10,RO,10.23,0.8741,2.25,90,2.05
KK,21.13,0.8793,1.87,20,RO,10.23,0.8741,2.25,80,1.91
KK,21.13,0.8793,1.87,40,RO,10.23,0.8741,2.25,60,1.75
KK,21.13,0.8793,1.87,30,RO,10.23,0.8741,2.25,70,1.67
RU/RO,7.80,0.8770,3.01,50,RA/RO,10.43,0.8741,3.1,50,3.09
AL,10.10,0.8590,2.31,25,JS,8.0,0.8815,3.5,75,3.1
AL,10.10,0.8590,2.31,50,JS,8.0,0.8815,3.5,50,3.01
AL,10.10,0.8590,2.31,75,JS,8.0,0.8815,3.5,25,2.46
EF,0.7,0.8001,1,10,RO,10.23,0.8741,2.25,90,1.74
EF,0.7,0.8001,1,25,RO,10.23,0.8741,2.25,75,1.85
EF,0.7,0.8001,1,50,RO,10.23,0.8741,2.25,50,1.56
EF,0.7,0.8001,1,90,RO,10.23,0.8741,2.25,10,1.13
LN,6.53,0.8403,1,25,RO,10.23,0.8741,2.25,75,1.67
LN,6.53,0.8403,1,50,RO,10.23,0.8741,2.25,50,1.45
LN,6.53,0.8403,1,75,RO,10.23,0.8741,2.25,25,1
FG,4.3,0.8472,1.71,10,RO,10.23,0.8741,2.25,90,2
FG,4.3,0.8472,1.71,35,RO,10.23,0.8741,2.25,65,1.85
FG,4.3,0.8472,1.71,75,RO,10.23,0.8741,2.25,25,1.75
NP,0.7,0.8475,2.81,20,RO,10.23,0.8741,2.25,80,2.37
NP,0.7,0.8475,2.81,50,RO,10.23,0.8741,2.25,50,2.05
NP,0.7,0.8475,2.81,80,RO,10.23,0.8741,2.25,20,1.75
RB8,0.2,0.8098,1.1,10,RO,10.23,0.8741,2.25,90,2.43
RB8,0.2,0.8098,1.1,50,RO,10.23,0.8741,2.25,50,1.97
RB8,0.2,0.8098,1.1,95,RO,10.23,0.8741,2.25,5,1.5
CO,1.4,0.7982,1.33,10,RO,10.23,0.8741,2.25,90,2.05
CO,1.4,0.7982,1.33,35,RO,10.23,0.8741,2.25,65,1.49
CO,1.4,0.7982,1.33,75,RO,10.23,0.8741,2.25,25,1.25
LW,0.6,0.7952,1,10,RO,10.23,0.8741,2.25,90,1.87
LW,0.6,0.7952,1,35,RO,10.23,0.8741,2.25,65,1.56
LW,0.6,0.7952,1,75,RO,10.23,0.8741,2.25,25,1.25
