ID_1,S_Value1,As1,%_1,ID_2,S_Value2,As2,%_2,S_Value_res,Type1,Type2
LW,0.6,1.15,10,RO,10.23,2.88,90,2.95,0,1
LW,0.6,1.15,35,RO,10.23,2.88,65,1.72,0,1
LW,0.6,1.15,75,RO,10.23,2.88,25,2.76,0,1
TR,3.60,3.29,20,RO,10.23,2.88,80,2.89,1,1
TR,3.60,3.29,70,RO,10.23,2.88,30,2.4,1,1
EK,5.35,7.08,10,KK,21.13,1.73,20,2.21,2,1
EK,5.35,7.08,10,RO,10.23,2.88,70,2.58,2,1
EK,5.35,7.08,10,RO,10.23,2.88,60,3.28,2,1
EK,5.35,7.08,10,RO,10.23,2.88,40,2.68,2,1
EK,5.35,7.08,10,RO,10.23,2.88,10,2.37,2,1
CO,1.4,1.24,10,RO,10.23,2.88,90,3.16,0,1
CO,1.4,1.24,35,RO,10.23,2.88,65,3.14,0,1
CO,1.4,1.24,75,RO,10.23,2.88,25,2.28,0,1
RB8,0.2,1.05,10,RO,10.23,2.88,90,3.16,0,1
RB8,0.2,1.05,50,RO,10.23,2.88,50,1.95,0,1
RB8,0.2,1.05,95,RO,10.23,2.88,5,1.31,0,1
EK,5.35,7.08,10,RO,10.23,2.88,90,3.1,2,1
EK,5.35,7.08,50,RO,10.23,2.88,50,2.91,2,1
EF,0.7,1.33,10,RO,10.23,2.88,90,2.73,2,1
EF,0.7,1.33,25,RO,10.23,2.88,75,2.67,2,1
EF,0.7,1.33,50,RO,10.23,2.88,50,1.88,2,1
EF,0.7,1.33,90,RO,10.23,2.88,10,1.46,2,1
RB3,0.47,1.74,30,RO,10.23,2.88,70,2.73,0,1
RB3,0.47,1.74,90,RO,10.23,2.88,10,1.08,0,1
FG,4.3,1.33,10,RO,10.23,2.88,90,2.86,1,1
FG,4.3,1.33,35,RO,10.23,2.88,65,2.16,1,1
FG,4.3,1.33,75,RO,10.23,2.88,25,1.78,1,1
NP,0.7,4.65,20,RO,10.23,2.88,80,3.05,1,1
NP,0.7,4.65,50,RO,10.23,2.88,50,2.89,1,1
NP,0.7,4.65,80,RO,10.23,2.88,20,1.67,1,1
CR,3.4,1.77,10,RO,10.23,2.88,90,3.2,2,1
CR,3.4,1.77,50,RO,10.23,2.88,50,2.79,2,1
CR,3.4,1.77,80,RO,10.23,2.88,20,2.1,2,1
WM,1.8,1.04,10,RO,10.23,2.88,90,2.58,0,1
WM,1.8,1.04,20,RO,10.23,2.88,80,2.8,0,1
WM,1.8,1.04,50,RO,10.23,2.88,50,1.8,0,1
WM,1.8,1.04,85,RO,10.23,2.88,15,1.65,0,1
KK,21.13,1.73,10,RO,10.23,2.88,90,1.93,2,1
KK,21.13,1.73,20,RO,10.23,2.88,80,1.77,2,1
KK,21.13,1.73,40,RO,10.23,2.88,60,1.99,2,1
KK,21.13,1.73,30,RO,10.23,2.88,70,1.86,2,1
