Nr,Composition,S,Ar,R,As,CII
1,90%RO/10%EF,25.16,37.71,26.07,11.07,0.57
2,75%RO/25%EF,32.67,33.6,24.23,9.5,0.73
3,50%RO/50%EF,46.37,23.35,22.18,8.1,1.2
4,10%RO/90%EF,66.7,7.7,20.8,4.8,2.51
5,70%RO/30%RB330,26.13,35.2,28.83,9.83,0.56
6,10%RO/90%RB390,46.95,35.3,14.8,2.95,1
7,75%RO/25%LN,35.78,29.28,25.3,9.65,0.83
8,50%RO/50%LN,43.3,23.8,23.8,9.1,1.1
9,25%RO/75%LN,53.1,21.1,16.8,9,1.64
10,90%RO/10%FG,24.9,30,35.1,10,0.54
11,65%RO/35%FG,27.05,29.95,34.5,8.5,0.55
12,25%RO/75%FG,36.6,26.1,32.4,4.9,0.71
13,80%RO/20%NP,31.2,33.1,29.05,6.65,0.61
14,50%RO/50%NP,40.27,31.3,21.3,7.13,0.9
15,20%RO/80%NP,56.2,26.78,13.4,3.63,1.49
16,10%CR/90%RO,24.1,30.29,38.01,7.6,0.46
17,50%CR/50%RO,32.13,29.36,32.17,6.33,0.63
18,80%CR/20%RO,46.6,18.9,28.77,5.73,1.1
19,90%RO/10%WM,29.13,35.63,26.25,9,0.62
20,80%RO/20%WM,31,34.7,25.3,9,0.67
21,50%RO/50%WM,47.6,26.45,19.05,6.9,1.2
22,15%RO/85%WM,66.4,23.93,7.6,2.07,2.17
23,30%KK/70%RO,18.95,31.45,37.69,11.91,0.45
24,10%KK/90%RO,18.99,31.35,38.1,11.56,0.44
25,80%KK/20%RO,17.9,30.97,36.06,15.07,0.49
26,40%KK/60%RO,18.77,31.02,37.91,12.3,0.45
27,50%EK/50%RO,20.1,36.53,34.43,8.95,0.41
28,10%EK/90%RO,20.3,34.5,35.15,10.05,0.44
29,90%RO/10%RB810,26.27,30.07,34.17,9.5,0.56
30,50%RO/50%RB850,44.9,27.57,20.3,7.23,1.09
31,5%RO/95%RB895,68,24.13,7.1,0.77,2.2
32,90%RO/10%CO,26.97,30.57,32.67,9.8,0.58
33,65%RO/35%CO,34.73,29.3,26.4,9.57,0.8
34,25%RO/75%CO,54.73,21.47,16.83,6.97,1.61
35,80%RO/20%TL,27.27,29.17,33.3,10.27,0.6
36,30%RO/70%TL,41.03,31.2,21.47,6.3,0.9
37,90%RO/10%LW,26.4,34.77,28.57,10.27,0.58
38,65%RO/35%LW,37.23,28,27.07,7.7,0.82
39,25%RO/75%LW,61.27,14.93,20.67,3.13,1.81
40,30%EKO/70%JS,35.06,44.7,14.06,6.18,0.7
41,50%EKO/50%JS,43.21,38.55,12.68,5.55,0.95
42,70%EKO/30%JS,44.6,31.89,19.52,3.99,0.95
43,30%EKO/70%AL3,30.27,22.33,39.56,7.85,0.62
44,50%EKO/50%AL3,33.02,33.81,30.48,2.68,0.56
45,70%EKO/30%AL3,40.69,21.49,31.94,5.88,0.87
